60.59,45.64,92.23,42,1->4->2->0->3,483.053967
61.10,44.44,92.42,42,1->4->2->0->3,758.648738
61.50,42.81,91.98,42,1->4->2->0->3,634.351759
58.49,47.64,90.98,42,1->4->2->0->3,802.869898
60.77,43.47,92.23,42,1->4->2->0->3,855.397456
61.70,43.06,92.22,42,1->4->2->0->3,765.816502
61.77,42.54,91.95,42,1->4->2->0->3,772.570271
60.41,44.99,91.83,42,1->4->2->0->3,750.604097
59.55,44.69,87.71,42,1->4->2->0->3,808.870856
58.16,47.92,91.73,42,1->4->2->0->3,269.945149
59.23,46.46,82.89,42,1->4->2->0->3,215.043712
50.00,0.00,56.97,42,1->4->2->0->3,142.832545
50.00,0.00,57.12,42,1->4->2->0->3,129.343606
50.00,0.00,56.99,42,1->4->2->0->3,134.199117
50.00,0.00,57.14,42,1->4->2->0->3,130.604738
50.00,0.00,56.84,42,1->4->2->0->3,184.381282
62.32,37.60,85.12,42,1->4->2->0->3,126.708165
62.12,31.85,87.00,42,1->4->2->0->3,143.503690
59.83,39.78,86.83,42,1->4->2->0->3,193.885275
56.98,43.40,77.05,42,1->4->2->0->3,149.971652
58.48,44.03,89.06,42,1->4->2->0->3,303.624270
54.89,18.39,63.04,42,1->4->2->0->3,130.261494
59.54,42.76,88.17,42,1->4->2->0->3,346.969479
58.22,33.98,83.70,42,1->4->2->0->3,221.160569
61.12,43.66,86.90,42,1->4->2->0->3,407.497836
60.98,43.09,87.10,42,1->4->2->0->3,518.304583
